CustomerID,Gender,Age,SeniorCitizen,Partner,Dependents,Tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
C00209,Female,49.0,0,No,No,24,Yes,No,DSL,Yes,No,Yes,No,No,No,Month-to-month,No,Electronic check,52.79,1141.87,Yes
C01878,Male,41.0,0,No,No,0,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Mailed check,71.28,163.75,No
C02542,Female,37.0,0,No,No,0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer,25.02,20.47,No
C06443,Male,18.0,0,No,No,22,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,50.12,1050.49,Yes
C03055,Female,58.0,0,No,No,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,26.55,1947.98,No
C04685,Male,47.0,0,Yes,Yes,40,Yes,Yes,DSL,No,No,Yes,No,Yes,No,One year,Yes,Credit card,65.76,2720.93,No
C03898,Female,40.0,0,No,No,53,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,33.91,1805.28,No
C01657,Female,40.0,0,No,No,0,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,71.8,15.72,Yes
C05758,Female,18.0,0,No,No,29,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,One year,Yes,Bank transfer,70.8,2047.02,No
C03851,Male,41.0,0,Yes,No,48,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,36.44,1739.14,No
C06185,Female,18.0,0,No,No,38,Yes,Yes,DSL,No,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,61.97,2088.27,Yes
C07102,Female,42.0,0,Yes,Yes,62,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,No,Two year,Yes,Mailed check,52.47,3240.55,No
C02225,Male,73.0,1,Yes,No,49,Yes,No,DSL,No,Yes,No,No,Yes,No,One year,No,Mailed check,59.19,3049.53,No
C02614,Male,62.0,0,No,No,16,Yes,No,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer,43.8,892.87,No
C02447,Female,23.0,0,No,No,28,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,One year,No,Mailed check,75.77,2310.45,No
C00568,Female,54.0,0,Yes,Yes,17,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,One year,Yes,Electronic check,67.8,1288.25,No
C01706,Female,37.0,0,No,No,71,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,Yes,Electronic check,74.39,4970.59,No
C03776,Male,40.0,0,No,Yes,39,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer,31.97,1236.3,No
C02434,Female,20.0,0,No,No,33,Yes,Yes,DSL,Yes,No,Yes,No,No,Yes,One year,Yes,Bank transfer,63.8,2098.08,No
C02216,Female,54.0,0,No,No,5,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card,60.22,486.54,Yes
C00592,Male,31.0,0,No,No,55,No,No phone service,DSL,No,No,No,Yes,No,No,Two year,No,Electronic check,35.29,1998.42,No
C01282,Female,55.0,0,No,No,11,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Credit card,74.08,859.56,Yes
C03991,Female,20.0,0,No,No,20,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,78.59,1517.14,Yes
C05393,Female,71.0,1,No,Yes,20,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer,73.51,1455.29,No
C06222,Female,59.0,0,No,No,51,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,28.96,1763.77,No
C03369,Male,53.0,0,No,No,57,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,59.48,3470.1,Yes
C07020,Female,30.0,0,Yes,No,39,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer,58.14,2429.29,No
C01403,Female,68.0,1,Yes,Yes,15,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer,82.6,1346.82,No
C05470,Female,31.0,0,No,No,32,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,23.16,742.34,No
C05524,Female,20.0,0,No,No,7,Yes,No,DSL,No,Yes,Yes,No,No,No,One year,Yes,Mailed check,50.04,418.06,No
C05133,Female,50.0,0,No,No,72,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,Yes,Electronic check,82.44,6867.58,No
C06977,Female,45.0,0,No,No,28,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,No,Electronic check,60.24,1771.97,No
C02022,Male,34.0,0,Yes,No,55,Yes,Yes,DSL,Yes,Yes,No,Yes,No,Yes,One year,Yes,Bank transfer,73.17,3840.22,No
C01872,Male,62.0,0,No,No,42,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card,24.08,1183.92,No
C05232,Male,47.0,0,No,No,62,Yes,No,Fiber optic,No,No,No,No,No,Yes,One year,No,Bank transfer,53.59,3249.71,No
C00874,Male,42.0,0,No,No,30,Yes,Yes,DSL,Yes,No,Yes,No,No,No,One year,No,Bank transfer,55.21,1934.28,Yes
C00303,Male,32.0,0,No,No,46,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,69.3,2951.31,Yes
C06602,Female,46.0,0,Yes,Yes,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,22.81,303.43,No
C04154,Male,44.0,0,No,Yes,0,Yes,No,DSL,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer,61.99,58.83,Yes
C05954,Male,34.0,0,No,No,25,Yes,No,DSL,No,Yes,No,No,Yes,No,One year,Yes,Mailed check,52.54,1284.98,No
C01922,Female,50.0,0,No,No,27,Yes,No,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Credit card,68.59,1859.41,No
C04088,Female,25.0,0,No,Yes,11,Yes,No,DSL,No,No,No,No,Yes,No,Two year,No,Electronic check,51.14,703.89,No
C02124,Female,53.0,0,Yes,No,0,Yes,No,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,No,Electronic check,49.45,145.76,No
C04842,Female,35.0,0,No,No,27,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,53.95,1516.14,Yes
C01182,Female,48.0,0,Yes,No,33,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer,36.2,1251.79,No
C00847,Male,60.0,0,Yes,Yes,24,No,No phone service,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,51.23,1349.5,No
C00529,Male,62.0,0,Yes,No,45,Yes,No,Fiber optic,No,Yes,No,No,No,No,Two year,Yes,Credit card,54.39,2434.97,No
C06976,Female,53.0,0,No,Yes,20,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,72.55,1467.38,No
C02816,Male,56.0,0,Yes,No,33,Yes,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,No,Bank transfer,54.61,1934.22,No
C01595,Female,28.0,0,No,No,38,Yes,Yes,DSL,No,No,No,No,No,No,Two year,No,Mailed check,53.19,2225.81,No
C01907,Female,24.0,0,Yes,No,8,Yes,No,DSL,No,No,No,Yes,No,No,One year,Yes,Credit card,40.14,424.69,No
C04240,Male,46.0,0,No,No,0,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,No,Electronic check,68.88,150.1,Yes
C00274,Female,45.0,0,No,No,42,Yes,No,DSL,No,No,No,No,No,No,One year,Yes,Electronic check,30.55,1212.88,No
C00559,Female,56.0,0,Yes,No,46,Yes,Yes,DSL,No,No,No,Yes,Yes,No,Two year,No,Electronic check,61.73,2948.49,No
C07089,Female,48.0,0,Yes,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,No,Bank transfer,57.88,2852.76,No
C06278,Female,64.0,0,No,Yes,43,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Bank transfer,67.1,2957.32,No
C06146,Female,34.0,0,Yes,No,35,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,33.45,1342.72,No
C02380,Male,42.0,0,Yes,No,34,Yes,No,DSL,No,No,No,Yes,Yes,No,One year,Yes,Electronic check,53.74,1859.17,No
C01820,Female,60.0,0,Yes,Yes,26,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Bank transfer,66.98,1922.56,No
C07012,Female,60.0,0,Yes,Yes,34,Yes,No,DSL,No,No,No,No,Yes,No,One year,Yes,Electronic check,50.72,1717.3,Yes
C02580,Female,53.0,0,No,No,7,Yes,No,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,60.94,443.62,No
C00228,Female,26.0,0,No,No,0,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,42.55,74.78,No
C05022,Male,44.0,0,Yes,No,50,Yes,Yes,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,65.42,3330.5,No
C03709,Female,19.0,0,No,No,1,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer,71.96,102.66,Yes
C01382,Female,52.0,0,Yes,No,59,Yes,No,Fiber optic,No,No,No,No,No,Yes,Two year,No,Electronic check,58.9,3589.97,Yes
C03011,Female,36.0,0,No,No,38,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Two year,No,Electronic check,63.12,2170.64,No
C00799,Female,61.0,0,No,No,0,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,42.14,101.95,No
C01170,Male,39.0,0,No,No,67,Yes,No,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Credit card,54.71,3924.14,No
C01873,Female,30.0,0,No,No,42,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,68.53,2970.72,No
C03343,Female,67.0,1,No,Yes,25,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Two year,Yes,Mailed check,74.08,2134.27,Yes
C04330,Female,18.0,0,No,No,38,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,No,Credit card,68.6,3070.8,No
C00981,Male,69.0,1,Yes,Yes,35,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Bank transfer,77.5,2842.09,No
C06620,Male,46.0,0,No,No,23,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,44.54,1121.18,No
C04279,Male,36.0,0,No,No,55,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,19.78,1093.8,No
C04931,Female,42.0,0,No,Yes,55,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card,36.52,1991.18,No
C07154,Male,38.0,0,Yes,No,10,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,76.87,938.45,Yes
